1. FC Köln                    88   1633 
1. FC Union Berlin            74   1655 
Augsburg                      141  1581 
Bayer Leverkusen              27   1773 
Bayern München                1    2045 
Bochum                        152  1571 
Borussia Dortmund             21   1792 
Borussia Mönchengladbach      113  1605 
Darmstadt                     380  1467 
DSC Arminia Bielefeld         195  1546 
Eintracht Braunschweig        427  1454 
Eintracht Frankfurt           49   1697 
Fortuna Düsseldorf            208  1541 
Freiburg                      52   1692 
Greuther Fürth                596  1412 
Hamburger SV                  215  1539 
Hannover 96                   527  1429 
Hertha BSC                    285  1504 
Hoffenheim                    70   1664 
Ingolstadt                    228  1532 
Kaiserslautern                569  1419 
Mainz                         76   1654 
Nürnberg                      710  1391 
RB Leipzig                    15   1826 
SC Paderborn 07               437  1451 
Schalke 04                    653  1400 
St. Pauli                     568  1420 
VfB Stuttgart                 175  1556 
Werder Bremen                 299  1496 
Wolfsburg                     177  1554 
