Almería                       406  1459 
Athletic Bilbao               50   1694 
Atlético Madrid               9    1876 
Barcelona                     6    1931 
Cádiz CF                      167  1561 
Celta Vigo                    62   1675 
Córdoba CF                    874  1363 
Deportivo Alaves              282  1507 
Deportivo La Coruña           323  1486 
Deportivo Xerez               309  1491 
Eibar                         261  1517 
Elche                         157  1566 
Getafe                        112  1605 
Girona                        205  1542 
Granada                       226  1533 
Hércules                      519  1431 
Las Palmas                    722  1389 
Leganes                       105  1612 
Levante                       233  1530 
Málaga                        451  1446 
Málaga                        451  1446 
Mallorca                      324  1485 
Osasuna                       94   1625 
Racing Santander              742  1385 
Rayo Vallecano                206  1542 
RCD Espanyol                  135  1586 
Real Betis                    38   1733 
Real Madrid                   4    1957 
Real Sociedad                 40   1719 
Real Valladolid               277  1509 
Real Zaragoza                 367  1470 
SD Huesca                     180  1553 
Sevilla                       22   1792 
Sporting Gijón                284  1504 
Tenerife                      384  1465 
Valencia                      67   1668 
Villarreal                    18   1799 
